Constituency No,Constituency Name,Party,Candidate
88,Ponnur,Jai Bharat National Party,Varikunta Rosaiah
88,Ponnur,Navarang Congress Party,Shek Mastan Vali
88,Ponnur,Independent,Doppalapudi Vasudeva Rao
88,Ponnur,Independent,Lakshminarao Adala
88,Ponnur,NOTA,None of the Above
89,Vemuru (SC),Yuvajana Sramika Rythu Congress Party,Ashok Babu Varikuti
89,Vemuru (SC),Telugu Desam,Ananda Babu Nakka
89,Vemuru (SC),Bahujan Samaj Party,Gorikapudi Steeven
89,Vemuru (SC),Indian National Congress,Buraga Subba Rao
89,Vemuru (SC),Pyramid Party of India,Kattapogu Vijayakumar
89,Vemuru (SC),Samajwadi Party,Tamaman Bhushanam
89,Vemuru (SC),Jai Bharat National Party,Duru Bhagya Raju
89,Vemuru (SC),Liberation Congress Party,Pamula Vijaya Kumari
89,Vemuru (SC),Jaibhim Rao Bharat Party,Yallamati Syam Prasad
89,Vemuru (SC),Jatiya Jana Sena Party,Ravendrababu Jada
89,Vemuru (SC),Independent,Kanaparthi Sharathbabu
89,Vemuru (SC),Independent,Kolakaluri Vijay Paul
89,Vemuru (SC),Independent,Gadde Vijayalakshmi
89,Vemuru (SC),Independent,Naidu Nikhil Krishna
89,Vemuru (SC),Independent,Boditya Cherbolu
89,Vemuru (SC),NOTA,None of the Above
90,Repalle,Telugu Desam,Anagani Satya Prasad
90,Repalle,Yuvajana Sramika Rythu Congress Party,Evuru Ganesh
90,Repalle,Bahujan Samaj Party,Dokka Srinivasa Rao
90,Repalle,Indian National Congress,Mopidevi Srinivasa Rao
90,Repalle,Bharatha Chaitanya Yuvajana Party,Angirekula Adi Narayana
90,Repalle,Jai Bharat National Party,Andraju Ramraju
90,Repalle,Jaibhim Rao Bharat Party,Dova Ramesh Ramji
90,Repalle,India Praja Bandhu Party,Merugupala Sadasiva Rao
90,Repalle,Jatiya Jana Sena Party,Yadla Gopiraju
90,Repalle,Pyramid Party of India,Subbarao Bellamkonda
90,Repalle,Indian Union Muslim League,Haseena Shaik
90,Repalle,Independent,Kokkiligadda Rambabu
90,Repalle,Independent,Boddu Nageswararao
90,Repalle,Independent,Mahammad Khaseem
90,Repalle,NOTA,None of the Above
91,Tenali,Yuvajana Sramika Rythu Congress Party,Annabathuni Sivakumar
91,Tenali,Bahujan Samaj Party,Karumanchi Sunil Sundeep
91,Tenali,Indian Union Muslim League,Amanulla Khan Pathan
91,Tenali,Telugu Janata Party,Konduri Nagaraju
91,Tenali,Telugu Vijayam Party,Chukkapalli Prasad
91,Tenali,Pyramid Party of India,Jinka Mallikarjuna Rao
91,Tenali,Janasena Party,Nadendla Manohar
91,Tenali,Communist Party of India (Marxist–Leninist) (Liberation),Shavala Gopal
91,Tenali,Jai Bharat National Party,Shaik Basha
91,Tenali,Independent,Gade Ramakrishna
91,Tenali,Independent,Tumapala Narendra
91,Tenali,Independent,Yandrapati Ashok Kumar
91,Tenali,Independent,Lakshmanamurthy Kota
91,Tenali,NOTA,None of the Above
92,Bapatla,Indian National Congress,Anjibabu Ganta
92,Bapatla,Yuvajana Sramika Rythu Congress Party,Kona Raghupathi
92,Bapatla,Bahujan Samaj Party,Gude Rajarao
92,Bapatla,Telugu Desam,Vegesana Narendra Varma Raju
92,Bapatla,Pyramid Party of India,Devarakonda Rajeswara Rao
92,Bapatla,Viduthalai Chiruthaigal Katchi,Regulagadda Chandra Sekhararao
92,Bapatla,Samajwadi Party,Srinivasa Rao Gorla
92,Bapatla,Independent,Katikala Sivabhagyarao
92,Bapatla,Independent,Kocharla Vinayraju
92,Bapatla,Independent,Dendukuri Sita Rama Raju
92,Bapatla,Independent,Pittu Busi Reddy
92,Bapatla,Independent,P. Prasad
92,Bapatla,Independent,Bethalam Yaswanth
92,Bapatla,Independent,Marupuroul Chenkasevareddy
92,Bapatla,Independent,D. S. Aalini
92,Bapatla,NOTA,None of the Above
93,Prathipadu (SC),Indian National Congress,Korini Vinaya Kumar
93,Prathipadu (SC),Yuvajana Sramika Rythu Congress Party,Balasani Kiran Kumar
93,Prathipadu (SC),Telugu Desam,Burla Ramanjaneyulu
93,Prathipadu (SC),Bahujan Samaj Party,Muralidhar G
93,Prathipadu (SC),Pyramid Party of India,Challa Sarathkumar
93,Prathipadu (SC),Jai Bharat National Party,Pallapati Naveen
93,Prathipadu (SC),Indian Labour Party (Ambedkar Phule),Paul Yandrapati
93,Prathipadu (SC),Jatiya Jana Sena Party,Burri Rambabu
93,Prathipadu (SC),Bharatha Chaitanya Yuvajana Party,S. S. Rani (Mahalakshmi)
93,Prathipadu (SC),Independent,Kathi Arun Kumar
93,Prathipadu (SC),Independent,Chandram Krishnamaraju
93,Prathipadu (SC),Independent,Bejam Nagaraju
93,Prathipadu (SC),Independent,K. Rajini Kanth
93,Prathipadu (SC),NOTA,None of the Above
94,Guntur West,Telugu Desam,Galla Madhavi
94,Guntur West,Indian National Congress,John Babu Bakkachonda
94,Guntur West,Yuvajana Sramika Rythu Congress Party,Rajin Vaddala
94,Guntur West,Navodayam Party,Alla Krishna Kishore
94,Guntur West,Jana Sahayogak Sakthi,Umar Basha Shaik
94,Guntur West,Pyramid Party of India,Kotapalli Suresh
94,Guntur West,Telugu Rajadhikara Samiti Party,Chukka Aravind
94,Guntur West,Jai Bharat National Party,Chekuri Palli Josh Ranganath
94,Guntur West,Andhra Pradesh Rashtra Samithi,Thiruka Sankar Rao
94,Guntur West,Jaibhim Rao Bharat Party,Neelam Prasadarao
94,Guntur West,Indian Union Muslim League,Basheer Ahmed
94,Guntur West,Indian Labour Party (Ambedkar Phule),Rayapolu Percy Rani
94,Guntur West,Viduthalai Chiruthaigal Katchi,N. L. Vidya Sagar
94,Guntur West,Yuga Thulasi Party,Satyanarayana Udita
94,Guntur West,Navarang Congress Party,Syed Rizwana
94,Guntur West,Andhra Rashtra Praja Samithi,Dr. T. S. Eyyakumar (Saho Seyakumar)
94,Guntur West,Independent,Kanaka Ratnam Gundu
94,Guntur West,Independent,Kotikal Anitha
94,Guntur West,Independent,Gandikota Balaji
94,Guntur West,Independent,Chintapalli Venkata Ramaiah
94,Guntur West,Independent,Chillara Sunitha
94,Guntur West,Independent,Pallebowna Swathi
94,Guntur West,Independent,Palakayala Srinivas Rao
94,Guntur West,Independent,Madhavi Tummuru
94,Guntur West,Independent,Racha Mallikarjuna Rao
94,Guntur West,Independent,Siva Durga Prasanna
94,Guntur West,Independent,Shaik Mumtaz
94,Guntur West,Independent,Sattinapalli Narasimha Rao
94,Guntur West,NOTA,None of the Above
95,Guntur East,Bahujan Samaj Party,Gudavalli Manikumari
95,Guntur East,Yuvajana Sramika Rythu Congress Party,Noori Fathimah Shaik
95,Guntur East,Telugu Desam,Mohammed Naseer Ahmed
95,Guntur East,Indian National Congress,Shaik Mastan Vali
95,Guntur East,Indian Union Muslim League,Altaf Hussain Shaik
95,Guntur East,Pyramid Party of India,Kaja Venkata Raghavendra Sanjeevrao
95,Guntur East,Navodayam Party,Nallaka Vijaya Raju
95,Guntur East,Andhra Pradesh Rashtra Samithi,Shaik Altaf
95,Guntur East,Navarang Congress Party,Shaik Ahamed Basha
95,Guntur East,Independent,Durrey Shahawar Shaik
95,Guntur East,Independent,Dr. Vahed
95,Guntur East,Independent,Shaik Silar
95,Guntur East,Independent,Syed Javed
95,Guntur East,Independent,Haroon Rasheed Shaik
95,Guntur East,NOTA,None of the Above
96,Chilakaluripet,Yuvajana Sramika Rythu Congress Party,Kavati Siva Naga Manohar Naidu
96,Chilakaluripet,Bahujan Samaj Party,Koppula Babu Rao
96,Chilakaluripet,Telugu Desam,Prathipati Pullarao
96,Chilakaluripet,Indian National Congress,Madduka Raja Krishna
96,Chilakaluripet,Indian Labour Party (Ambedkar Phule),Muppu Ramakoteswara Rao
96,Chilakaluripet,Pyramid Party of India,Ratna Kumar Tanniru
96,Chilakaluripet,Navotarum Party,Ravu Subbaramanna
96,Chilakaluripet,Bharatha Chaitanya Yuvajana Party,Vinco Kumar Doppalapudi
96,Chilakaluripet,Rashtriya Janakarnti Party,Shaik Gouase Basha
96,Chilakaluripet,Independent,Katta Kiran Kumar
96,Chilakaluripet,Independent,Kumar Svaram Vinay T
96,Chilakaluripet,Independent,Goutami Kata
96,Chilakaluripet,Independent,Chella Dayaratnam
96,Chilakaluripet,Independent,Thanubodu Sundararammikedy
96,Chilakaluripet,Independent,Thamalluri Ramanaiah
96,Chilakaluripet,Independent,Nallamothu Madhava Rao
96,Chilakaluripet,Independent,Prathipati Pichiah
96,Chilakaluripet,Independent,Prathipati Ravi Babu
96,Chilakaluripet,Independent,Bahujanapu Rajesh
96,Chilakaluripet,Independent,Manohar Damaria
96,Chilakaluripet,Independent,P Rahimuthun
96,Chilakaluripet,Independent,Rami Reddy Marella
96,Chilakaluripet,Independent,Vantati Vijayamma
96,Chilakaluripet,Independent,Sameswararao Ponnaganti
96,Chilakaluripet,Independent,Sai Ganesh Konipati
96,Chilakaluripet,NOTA,None of the Above
97,Narasaraopet,Telugu Desam,Aravinda Babu Chadalavada
97,Narasaraopet,Yuvajana Sramika Rythu Congress Party,Gorreddy Srinivasa Reddy
97,Narasaraopet,Bahujan Samaj Party,Budala Samelu
97,Narasaraopet,Indian National Congress,Mahaboob Basha Shaik
97,Narasaraopet,Bharatha Chaitanya Yuvajana Party,Goosala Manohar
97,Narasaraopet,Jaibhim Rao Bharat Party,Goda John Paul
97,Narasaraopet,Jatiya Jana Sena Party,Doctor Goda Ramesh Kumar
97,Narasaraopet,Pyramid Party of India,Tallapaneh Hari Krishna
97,Narasaraopet,Independent,Anil Kumar Pathri
97,Narasaraopet,Independent,Kichupudi Chandra Sekhar
97,Narasaraopet,Independent,Koti Reddy Kiameta
97,Narasaraopet,Independent,Mahammad Manzoor Shaik
97,Narasaraopet,Independent,Sribamanei Prasad
97,Narasaraopet,Independent,Shaik Moulaali
97,Narasaraopet,NOTA,None of the Above
98,Sattenapalle,Yuvajana Sramika Rythu Congress Party,Ambati Rambabu
98,Sattenapalle,Telugu Desam,Kanaka Lakshminarayana
98,Sattenapalle,Indian National Congress,Chukka Chandra Paul
98,Sattenapalle,Bahujan Samaj Party,Pirupogu Naveen Babu
98,Sattenapalle,Jatiya Jana Sena Party,Goda Venkata Ramana
98,Sattenapalle,Jaibhim Rao Bharat Party,Jonnavalgadda Vijay Kumar
98,Sattenapalle,Yugu Thulasi Party,Yamojini Hanumantha Rao
98,Sattenapalle,Pyramid Party of India,Rangisetty Nageswara Rao
98,Sattenapalle,Jai Bharat National Party,Sheik Dairyavali
98,Sattenapalle,Independent,Gaddam Rambabu
98,Sattenapalle,Independent,P Govinda Ramesh Babu
98,Sattenapalle,Independent,Jakyna Kandukuri
98,Sattenapalle,Independent,Padi Manikanta
98,Sattenapalle,Independent,Mekala Venumadhava Reddy
98,Sattenapalle,Independent,Mekala Subbarao
98,Sattenapalle,NOTA,None of the Above
99,Vinukonda,Telugu Desam,Gonuguntla Venkata Siva Sita Rama Anzannayellu
99,Vinukonda,Indian National Congress,Chenna Srinivasa Rao
99,Vinukonda,Yuvajana Sramika Rythu Congress Party,Bolla Brahma Naidu
99,Vinukonda,Bahujan Samaj Party,Masipogu Yesobu
99,Vinukonda,Joatitha Chethi Vruthula Iiya Vedika Party,Kukatapalli Prasad
99,Vinukonda,Pyramid Party of India,Ramana Gaddam
99,Vinukonda,Jai Bharat National Party,Chiranjeevi Naik
99,Vinukonda,Independent,Ustala China Kasaiah
99,Vinukonda,Independent,Batchu Venkata Ravi Kumar
99,Vinukonda,Independent,Bolla VeeranJaneyulu
99,Vinukonda,Independent,Molaka Seetaram
99,Vinukonda,Independent,Srinivasa Rao Naralasetty
99,Vinukonda,Independent,Srinivasarao Jadda
99,Vinukonda,Independent,Shaik Baji
99,Vinukonda,NOTA,None of the Above
100,Gurajala,Yuvajana Sramika Rythu Congress Party,Kasu Mahesh Reddy
100,Gurajala,Bahujan Samaj Party,Nagendla Yobu
100,Gurajala,Telugu Desam,Yarapathinen Srinivasa Rao
100,Gurajala,Indian National Congress,Yalamanda Reddy Tiyyagura
100,Gurajala,National Nava Kranthi Party,Kanakam Srinivasarao
100,Gurajala,Jaibhim Rao Bharat Party,Julluri Ramesh
100,Gurajala,Andhra Rashtra Praja Samithi,Srinivasarao Gaddam
100,Gurajala,Akhil Bharatiya Jan Sangh,Srinivasarao Neerumalla
100,Gurajala,Independent,Koppavarapu Venkata Purushothamrao
100,Gurajala,Independent,Gangavarapu Mallamma
100,Gurajala,Independent,Chedla Nagarjuna
100,Gurajala,Independent,Badam Venkateswara Reddy
100,Gurajala,Independent,Rama Rao Koya
100,Gurajala,NOTA,None of the Above
